,target,group,center number,atomic number,x,y,z,charge,multi
0,,,1,40,0.016444,-0.223773,-0.696727,0,1
1,"t1,t2",,2,14,-0.126021,2.346046,1.356125,,
2,,,3,17,1.387284,-0.573675,-2.661136,,
3,,,4,17,-1.167965,-2.321091,-0.633213,,
4,,,5,6,0.918747,0.789777,1.322336,,
5,,,6,6,2.125085,0.579162,0.544448,,
6,,,7,6,2.442479,-0.825841,0.51498,,
7,,,8,6,1.459106,-1.511617,1.310995,,
8,,,9,6,0.543201,-0.522827,1.817169,,
9,,,10,6,2.948156,1.474798,-0.18576,,
10,,,11,1,2.741708,2.546234,-0.181754,,
11,,,12,6,4.038888,0.983231,-0.874774,,
12,,,13,1,4.677809,1.674808,-1.428595,,
13,,,14,6,4.349556,-0.394596,-0.881078,,
14,,,15,1,5.21855,-0.744829,-1.441667,,
15,,,16,6,3.564286,-1.296654,-0.191902,,
16,,,17,1,3.798681,-2.363634,-0.201332,,
17,,,18,6,1.300936,-2.872333,1.631499,,
18,,,19,1,2.004826,-3.612663,1.244548,,
19,,,20,6,0.237205,-3.254856,2.423922,,
20,,,21,1,0.096979,-4.307956,2.676005,,
21,,,22,6,-0.678215,-2.297053,2.912853,,
22,,,23,1,-1.511894,-2.626458,3.537101,,
23,,,24,6,-0.542785,-0.95515,2.619038,,
24,,,25,1,-1.258507,-0.234771,3.018368,,
25,,,26,6,-1.130315,1.914213,-0.169951,,
26,,,27,6,-0.575962,2.017389,-1.485433,,
27,,,28,6,-1.274175,1.180792,-2.38559,,
28,,,29,6,-2.336681,0.567404,-1.66762,,
29,,,30,6,-2.230106,0.989214,-0.287737,,
30,,,31,6,-3.374718,-0.310554,-2.069092,,
31,,,32,1,-3.456473,-0.618786,-3.113334,,
32,,,33,6,-4.259851,-0.764226,-1.122473,,
33,,,34,1,-5.067251,-1.438964,-1.415044,,
34,,,35,6,-4.148199,-0.374916,0.239873,,
35,,,36,1,-4.873547,-0.758159,0.960982,,
36,,,37,6,-3.158759,0.480124,0.662547,,
37,,,38,1,-3.104394,0.791749,1.707877,,
38,,,39,1,-1.057304,1.0561,-3.444685,,
39,,,40,1,0.306006,2.606039,-1.751904,,
40,v1,group1,41,1,0.68374937,3.55669333,1.15736637,,
41,v2,group2,42,1,-0.96282833,2.42079336,2.5623863,,
