,±ê¼Ç,center number,atomic number,x,y,z,charge,multi
0,t,1,6,1.191144,2.322705,0.18603,0,1
1,,2,6,2.586304,2.322705,0.18603,,
2,,3,6,3.283842,3.530456,0.18603,,
3,,4,6,2.586188,4.738965,0.184831,,
4,,5,6,1.191363,4.738887,0.184352,,
5,,6,6,0.493762,3.530681,0.185348,,
6,v,7,1,0.641385,1.370388,0.18648,,
7,,8,1,3.135812,1.370192,0.187345,,
8,,9,1,4.383522,3.530536,0.186664,,
9,,10,1,3.136388,5.691108,0.184772,,
10,,11,1,0.641241,5.691168,0.183399,,
11,,12,1,-0.605842,3.530864,0.185168,,
